Date,Symbols,Close,High,Low,Open,Volume
2021-09-23,AAPL.US,146.62,146.87,145.43,146.44,64932799
2021-09-23,GOOGL,2824.32,2833.93,2808.03,2819.75,1047550
2021-09-23,FB,345.96,349.67,343.0,345.355,21806264
2021-09-23,PFE,43.805,44.33,43.766,43.895,19892258
2021-09-23,BNTX,352.99,360.0,341.44,343.0,2824358
2021-09-23,MRNA,454.6,458.5,438.79,439.7851,9620341
2021-09-23,AMZN,3416.0,3428.96,3380.05,3380.05,2379414
2021-09-22,AAPL.US,145.64,146.22,143.49,144.24,76515851
2021-09-22,GOOGL,2805.67,2817.74,2771.03,2786.08,1252778
2021-09-22,FB,343.21,349.84,340.6901,347.23,43692859
2021-09-22,PFE,43.568,44.004,43.449,43.607,22815269
2021-09-22,BNTX,339.26,344.57,336.69,342.8028,1480023
2021-09-22,MRNA,440.72,443.73,428.6,433.09,9003453
2021-09-22,AMZN,3380.05,3389.0,3341.05,3351.0,2411403
2021-09-21,AAPL.US,143.22,144.39,142.57,143.72,75944639
2021-09-21,GOOGL,2780.66,2800.23,2765.56,2794.99,1266595
2021-09-21,FB,357.48,360.04,355.19,358.5,11751917
2021-09-21,PFE,43.538,44.341,43.468,43.865,23853152
2021-09-21,BNTX,341.35,349.93,337.04,344.77,2455420
2021-09-21,MRNA,434.04,439.59,420.3,424.3,9355333
2021-09-21,AMZN,3343.63,3379.7,3332.39,3375.0,2780878
2021-09-20,AAPL.US,142.73,144.63,141.06,143.59,123659076
2021-09-20,GOOGL,2774.39,2780.0,2726.435,2763.23,2325902
2021-09-20,FB,355.7,361.03,349.8,359.3,19822772
2021-09-20,PFE,43.815,44.261,43.012,43.012,42240570
2021-09-20,BNTX,339.01,353.64,333.36,341.205,3322067
2021-09-20,MRNA,423.33,435.4499,416.511,417.5073,12929376
2021-09-20,AMZN,3355.73,3419.0,3305.01,3396.0,4669130
2021-09-17,AAPL.US,145.85,148.6,145.55,148.6,130058363
2021-09-17,GOOGL,2816.0,2869.0,2809.395,2860.61,2669223
2021-09-17,FB,364.72,371.41,361.59,371.0,26298966
2021-09-17,PFE,43.508,44.073,42.933,43.786,56915938
2021-09-17,BNTX,359.18,370.8,344.81,370.74,5646240
2021-09-17,MRNA,430.05,442.0,406.8704,438.53,30536393
2021-09-17,AMZN,3462.52,3497.41,3452.13,3488.4146,4616556
2021-09-16,AAPL.US,148.57,148.75,147.01,148.22,68133443
2021-09-16,GOOGL,2872.2,2886.0,2848.03,2879.01,1309771
2021-09-16,FB,373.06,373.56,369.71,372.79,11934217
2021-09-16,PFE,44.083,44.599,43.647,44.489,22621005
2021-09-16,BNTX,372.65,374.85,345.0,350.39,4606777
2021-09-16,MRNA,440.65,446.6399,429.0,431.21,10107389
2021-09-16,AMZN,3488.24,3492.55,3446.1432,3459.96,2583598
2021-09-15,AAPL.US,148.81,149.22,146.16,148.34,83402861
2021-09-15,GOOGL,2888.59,2889.01,2826.95,2855.43,1370379
2021-09-15,FB,373.92,377.555,367.67,377.0,17940297
2021-09-15,PFE,44.38,44.97,44.083,44.172,28926330
2021-09-15,BNTX,355.25,357.76,337.5,338.11,4545812
2021-09-15,MRNA,434.46,437.8,422.16,427.455,12893644
2021-09-15,AMZN,3475.79,3485.42,3402.01,3442.52,2957537
2021-09-14,AAPL.US,147.9,150.85,146.7,150.13,109455809
2021-09-14,GOOGL,2850.89,2867.26,2835.0,2859.905,983693
2021-09-14,FB,376.53,378.59,375.11,377.4,8711569
2021-09-14,PFE,44.321,44.866,44.157,44.281,24311765
2021-09-14,BNTX,334.88,345.92,326.03,326.17,2850043
2021-09-14,MRNA,427.71,443.76,418.6331,419.27,14736540
2021-09-14,AMZN,3450.0,3486.806,3437.7104,3475.55,1936897
2021-09-13,AAPL.US,149.33,151.2,148.53,150.41,102553785
2021-09-13,GOOGL,2846.65,2859.0,2825.0,2838.99,1104692
2021-09-13,FB,376.51,381.75,374.3451,381.68,13026275
2021-09-13,PFE,44.192,45.431,43.815,45.342,37411763
2021-09-13,BNTX,327.14,351.91,322.47,348.1908,3963817
2021-09-13,MRNA,419.72,448.8099,415.0,448.0,15664748
2021-09-13,AMZN,3457.17,3497.96,3438.0001,3482.8,2569022
